
RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
66,Jr,6-5,Kameron McGusty (20),Miami FL,Oklahoma,65.0,2.1,-0.0,96.3,23.8,49.8,52.7,1.8,13.2,11.3,19.0,0.6,1.3,22.7,92-183,.503,8.2,38-116,.328,2020
67,Sr,6-3,Noah Locke (22),Louisville,Florida,64.6,1.3,-0.1,96.6,20.2,46.9,48.1,1.9,8.4,7.7,11.6,0.3,0.9,9.1,42-108,.389,14.1,68-199,.342,2022
68,Jr,6-3,Casey Morsell (22),North Carolina St.,Virginia,55.9,1.2,-0.2,101.9,16.6,43.7,46.6,4.7,12.5,5.4,9.2,0.4,2.6,27.3,37-105,.352,8.1,35-100,.350,2022
69,Sr,6-7,Justin Pierce (20),North Carolina,William & Mary,43.9,0.7,-0.2,96.9,16.9,42.2,43.5,9.9,13.4,9.1,14.9,1.7,1.3,21.1,46-95,.484,6.9,16-71,.225,2020
70,Sr,6-4,Curran Scott (20),Clemson,Tulsa,49.7,0.8,-0.3,95.0,18.2,43.3,49.7,1.7,8.6,14.2,17.9,0.0,2.4,40.9,36-77,.468,6.9,19-72,.264,2020
71,Sr,6-6,Connar Tava (17),Boston College,Western Michigan,63.3,0.4,-0.5,93.6,16.2,50.0,54.3,6.4,18.6,14.3,29.4,1.3,1.5,58.8,59-105,.562,2.1,6-31,.194,2017
72,Sr,6-5,Elijah Olaniyi (21),Miami FL,Stony Brook,63.1,1.4,-0.6,95.2,18.5,47.6,50.9,4.3,13.8,5.8,17.6,1.5,1.6,28.9,59-110,.536,6.9,21-80,.263,2021
73,Jr,6-7,Jordan Usher (20),Georgia Tech,USC,49.3,0.4,-0.8,84.1,20.6,42.1,47.1,3.5,14.7,14.1,26.2,0.9,1.2,32.1,56-122,.459,4.1,9-43,.209,2020
74,Sr,6-4,Jamarius Burton (22),Pittsburgh,Texas Tech,81.2,2.4,-0.9,99.4,21.6,44.5,50.2,1.8,10.8,18.1,16.6,0.7,1.6,28.0,107-249,.430,4.7,26-79,.329,2022
75,Sr,6-3,Christian Keeling (20),North Carolina,Charleston Southern,47.2,0.8,-1.0,95.1,17.9,46.8,49.0,4.1,11.6,6.5,18.5,1.1,1.4,15.9,70-151,.464,4.5,16-50,.320,2020
76,Sr,6-1,Mason Faulkner (22),Louisville,Western Carolina,43.8,1.1,-1.1,103.9,17.2,45.5,50.4,1.8,7.3,26.3,19.5,0.2,1.5,36.1,21-52,.404,7.3,23-70,.329,2022
77,Jr,6-5,Trey Wertz (21),Notre Dame,Santa Clara,53.5,1.5,-1.3,98.7,18.8,51.7,54.6,0.9,10.0,16.1,20.5,0.4,0.9,19.2,26-69,.377,8.2,33-77,.429,2021
78,Sr,6-2,Brevin Galloway (22),Boston College,College of Charleston,46.3,0.5,-1.4,86.9,21.5,40.2,42.2,0.4,7.2,11.9,14.1,0.8,2.8,11.1,28-62,.452,16.8,44-172,.256,2022
79,Jr,6-6,Malik Ellison (19),Pittsburgh,St. John's,48.9,0.2,-1.5,88.6,18.9,45.5,47.6,6.3,13.3,11.7,23.6,1.8,1.8,47.7,66-139,.475,1.4,3-16,.188,2019
80,Sr,6-7,Terrence Thompson (18),Wake Forest,Marshall,40.8,0.0,-2.0,89.7,15.5,39.0,42.3,11.5,15.8,2.8,18.9,0.5,2.3,42.9,29-88,.330,1.9,8-17,.471,2018
81,Sr,6-3,Derryck Thornton (20),Boston College,USC,70.1,1.3,-2.7,87.6,26.5,43.2,48.6,1.4,8.9,24.0,23.3,0.5,1.8,33.4,93-210,.443,7.2,31-113,.274,2020
82,Sr,6-9,Mo Jeffers (17),Boston College,Delaware,50.9,0.4,-3.2,93.5,17.2,49.7,50.8,10.9,21.1,4.5,22.1,2.8,1.0,35.1,75-151,.497,0.0,0-0,.000,2017
83,Jr,6-5,Brandon Alston (18),Georgia Tech,Lehigh,59.0,0.5,-3.3,96.4,14.7,44.3,49.0,2.8,6.1,12.9,19.4,0.1,0.9,38.7,35-91,.385,4.7,21-59,.356,2018
84,Sr,6-3,Torry Johnson (19),Wake Forest,Northern Arizona,45.3,0.3,-3.4,92.3,16.6,43.4,52.1,0.7,8.7,12.8,26.5,0.2,1.5,62.8,28-72,.389,4.2,14-41,.341,2019
