RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
61,Jr,6-6,Tevin Mack (19),Alabama,Texas,51.2,1.4,1.6,97.9,23,50.4,51,4.8,13,8.7,17,2.3,0.9,18.1,67-132,0.508,11.7,48-144,0.333,2019
62,Jr,6-7,D.J. Jeffries (22),Mississippi St.,Memphis,69.5,1.6,1.6,99.2,18.5,47.9,51.2,3.4,14.7,12.9,20,2.4,1.5,28.1,81-161,0.503,6.2,29-99,0.293,2022
63,Jr,6-4,Cullen Neal (17),Mississippi,New Mexico,58.4,2.4,1.6,114.7,18.1,54.1,59.8,1.3,6.3,17.7,19.2,0.1,1,36.9,36-87,0.414,9.9,63-154,0.409,2017
64,Sr,6-4,Justin Kier (21),Georgia,George Mason,77.1,1,1.4,94.7,16.7,48.7,52.5,1.3,11.9,12.9,25.3,0.3,2.9,30.3,41-97,0.423,6.9,37-101,0.366,2021
65,Sr,6-9,Garrison Brooks (22),Mississippi St.,North Carolina,74.8,2.6,1.3,107.5,18.4,50.2,52.7,10.1,16.2,5.3,14.5,3.3,0.8,26.3,110-221,0.498,4.4,26-76,0.342,2022
66,Sr,6-3,Tye Fagan (22),Mississippi,Georgia,53,1.3,1.3,97.5,20.6,51,53.3,3.2,14,19,22,1,1.7,20.5,65-126,0.516,6,23-69,0.333,2022
67,Sr,6-0,Tre Campbell (19),South Carolina,Georgetown,67.2,1,1.3,99.1,15.6,42.9,46,1.2,5.9,19.1,16.8,0.3,2.2,17.4,23-89,0.258,8.6,47-129,0.364,2019
68,Sr,6-8,Christian Mekowulu (19),Texas A&M,Tennessee St.,53.6,2.2,1.3,110.1,20.7,47.7,53.4,13.5,18.9,4.4,13.4,5.3,0.8,58.8,88-183,0.481,0.9,3-11,0.273,2019
69,Sr,6-6,Andrew Garcia (21),Georgia,Stony Brook,42.8,1.9,1.2,106.2,23.9,53.6,58.1,13.4,12.6,5.9,20.5,1.7,1.8,43.5,81-148,0.547,0.7,1-6,0.167,2021
70,Sr,6-1,Wesley Myers (18),South Carolina,Maine,54.3,1.2,1.2,98.8,20.2,45.4,50.2,3.2,9.7,15.8,18.2,0.5,1.7,45.9,49-131,0.374,6.2,30-76,0.395,2018
71,Sr,6-2,Xavier Pinson (22),LSU,Missouri,57.3,1.7,1.1,93.5,24.5,41.4,47.9,2.4,7.2,32.1,26.3,0,3.5,37.3,65-145,0.448,7.2,24-99,0.242,2022
72,Sr,6-8,Noah Gurley (22),Alabama,Furman,44.8,1.3,1,101.2,19.1,53.3,54.6,8.4,12.6,5.9,21.6,4.3,1.3,29.4,69-109,0.633,6.5,18-71,0.254,2022
73,Sr,6-4,Markel Crawford (18),Mississippi,Memphis,76.1,1.8,1,105.1,15.7,45.2,50.5,1.9,12.2,12.5,13.1,0.8,2.2,37.5,67-141,0.475,6.1,30-107,0.28,2018
74,Sr,6-1,Zep Jasper (22),Auburn,College of Charleston,53.3,1.3,0.8,108.7,12.5,44.1,49.1,1.9,3.8,15.3,15.2,0.3,1.8,29,25-74,0.338,5.4,26-71,0.366,2022
75,So,6-8,Jaemyn Brakefield (22),Mississippi,Duke,62.4,1.1,0.5,98.3,16.8,55.2,57.1,3.8,16.4,5.9,22,1,1.6,26.7,59-108,0.546,6.1,31-83,0.373,2022
76,So,5-11,Avery Johnson Jr. (17),Alabama,Texas A&M,47.6,0.8,0.4,92.1,22.1,39.6,42.5,1.9,7.8,16.3,14.7,0.2,2.3,16.5,51-148,0.345,9.5,33-106,0.311,2017
77,Jr,6-8,Dustin Thomas (17),Arkansas,Colorado,45,1.2,0.3,104.9,16.9,49,52.7,8,14.9,10.4,18.3,1.6,2,47.3,71-143,0.497,0.4,1-5,0.2,2017
78,Jr,6-2,Jalen Harris (19),Arkansas,New Mexico,76.4,1.3,0.1,96.1,18.7,35.7,42.5,1.9,8.7,30.8,18.6,0.7,2,47.8,77-180,0.428,3.6,8-69,0.116,2019
79,Jr,6-10,Khadim Sy (20),Mississippi,Virginia Tech,56.6,1.7,0.1,102.4,20.6,53.9,57.6,7.7,19.8,7,20.1,3.7,1.7,41.4,99-176,0.563,2.1,7-27,0.259,2020
80,Sr,6-1,JC Hampton (17),Texas A&M,Lipscomb,62.6,1.6,0,111.7,13.4,53.3,57.6,0.6,7.9,12.6,20,0,1.3,36.6,17-49,0.347,7.9,43-104,0.413,2017
81,Jr,6-7,Anthony Duruji (21),Florida,Louisiana Tech,54.8,0.7,-0.2,93.7,17,47.3,47.6,8,14.8,4.7,18.9,2.2,1.4,19.9,54-108,0.5,3.9,10-38,0.263,2021
82,Sr,6-3,Brandon McKissic (22),Florida,UMKC,59.4,0.5,-0.4,92.6,16.4,43.7,45.9,2.5,9.9,14.8,20.1,0.4,2.8,27.2,43-80,0.537,8.1,27-111,0.243,2022
83,Jr,6-8,Matt Ryan (19),Vanderbilt,Notre Dame,56.2,1,-0.6,98.8,17.1,48.2,50.2,1.9,10.3,8,14.5,0.6,0.8,14.6,17-39,0.436,14.4,59-180,0.328,2019
84,Jr,6-3,DaJuan Gordon (22),Missouri,Kansas St.,59.1,1.1,-1.2,92.7,20.2,48.2,51,5.6,13.4,10.4,23.6,1.2,1.9,21.2,59-132,0.447,7.1,32-90,0.356,2022
85,Jr,6-2,Amari Davis (22),Missouri,Green Bay,65.3,1.5,-1.7,97.8,18.7,43.8,48.8,3.8,6.6,7.7,14.8,0.3,1.8,27.7,94-208,0.452,2.9,10-41,0.244,2022
86,Sr,6-0,James Bolden (20),Alabama,West Virginia,46.9,1.2,-1.8,97.4,20.3,43.8,49.4,4,6.4,9.6,17.9,0.7,1.4,30,26-81,0.321,10.8,42-122,0.344,2020
87,Jr,6-5,Jarron Coleman (22),Missouri,Ball St.,67.2,0.6,-2,85.2,21.3,44.8,46.4,2.1,12.3,20,26.6,0.9,1.9,16.3,48-112,0.429,10.1,45-146,0.308,2022
88,So,6-8,Jabri Abdur-Rahim (22),Georgia,Virginia,47.3,1.3,-2.1,98.8,20.1,45.6,52.4,6.2,13.4,4.7,16.4,1.6,1.2,50.3,30-73,0.411,9.2,32-98,0.327,2022
89,So,6-2,Marcus Williams (22),Texas A&M,Wyoming,40.7,0.5,-2.1,83.9,24,41.4,43.3,1.6,8.8,27.1,26.9,0.5,2.9,19.2,51-120,0.425,8.6,25-94,0.266,2022
90,Sr,6-2,Aaron Cook (22),Georgia,Gonzaga,77.9,1.6,-2.2,90.1,23.7,43.1,46.4,0.9,8.8,34.9,23.5,0.8,2.4,25,88-202,0.436,6.3,31-110,0.282,2022
91,Sr,6-2,Seventh Woods (21),South Carolina,North Carolina,40.7,-0.2,-4.7,76.8,20.3,39,40.5,1.2,9.1,18.6,26.7,0.3,3.1,10.5,37-87,0.425,4.2,5-27,0.185,2021
